trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
142,False,"{'a': 0.25, 'e': 0.1449216314878229}",20,3,28.382468976012234,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.25, 'e': 0.1433795043646533}",25,5,-12.277728896438878,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",1
144,False,"{'a': 0.25, 'e': 0.1418510649004877}",30,20,23.57089685430828,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.25, 'e': 0.14033624949008328}",25,8,19.375415367714155,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.25, 'e': 0.13883499354730722}",25,9,5.989514495800195,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
147,False,"{'a': 0.25, 'e': 0.13734723153743122}",30,6,33.6006981957685,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.25, 'e': 0.13587289700909422}",25,10,-17.560206570511248,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
149,False,"{'a': 0.25, 'e': 0.1344119226259266}",30,21,16.91828146044923,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.25, 'e': 0.13296424019782938}",25,4,5.766138433191049,"{0: 17, 1: 4, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.25, 'e': 0.13152978071189947}",25,10,27.95126961998421,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.25, 'e': 0.13010847436299788}",30,20,12.49689994548351,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.25, 'e': 0.12870025058394896}",25,8,-23.95078652633625,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
154,False,"{'a': 0.25, 'e': 0.12730503807537175}",30,12,34.21028368113124,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.25, 'e': 0.12592276483513232}",30,17,18.476137048704654,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.25, 'e': 0.12455335818741642}",25,14,8.683461086907185,"{0: 9, 1: 2, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.25, 'e': 0.12319674481141463}",25,0,13.89360250102182,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
158,False,"{'a': 0.25, 'e': 0.12185285076961805}",30,7,32.557521570464765,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.25, 'e': 0.12052160153571956}",35,25,17.79746939380354,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.25, 'e': 0.11920292202211769}",25,13,13.078529804459544,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
